iter	Passed	Remaining
640	6602	3697
641	6613	3688
642	6625	3678
643	6637	3669
644	6648	3658
645	6657	3648
646	6667	3638
647	6679	3628
648	6690	3618
649	6702	3609
650	6712	3598
651	6722	3588
652	6733	3578
653	6742	3567
654	6750	3555
655	6760	3545
656	6770	3534
657	6780	3524
658	6791	3514
659	6800	3503
660	6809	3492
661	6819	3481
662	6830	3471
663	6842	3462
664	6851	3451
665	6860	3440
666	6870	3430
667	6882	3420
668	6892	3410
669	6902	3399
670	6914	3390
671	6925	3380
672	6935	3370
673	6945	3359
674	6956	3349
675	6967	3339
676	6976	3328
677	6985	3317
678	6996	3307
679	7006	3297
680	7016	3286
681	7027	3276
682	7036	3265
683	7046	3255
684	7055	3244
685	7067	3234
686	7076	3224
687	7087	3214
688	7099	3204
689	7108	3193
690	7120	3184
691	7132	3174
692	7145	3165
693	7158	3156
694	7171	3147
695	7183	3137
696	7194	3127
697	7205	3117
698	7217	3108
699	7228	3097
700	7239	3087
701	7250	3077
702	7261	3067
703	7273	3058
704	7284	3048
705	7293	3037
706	7302	3026
707	7312	3016
708	7323	3005
709	7335	2996
710	7347	2986
711	7358	2976
712	7369	2966
713	7380	2956
714	7389	2945
715	7400	2935
716	7412	2925
717	7421	2914
718	7433	2905
719	7444	2894
720	7455	2884
721	7466	2875
722	7478	2865
723	7489	2855
724	7503	2846
725	7515	2836
726	7531	2828
727	7542	2818
728	7552	2807
729	7562	2797
730	7572	2786
731	7581	2775
732	7591	2765
733	7601	2754
734	7609	2743
735	7620	2733
736	7630	2723
737	7641	2712
738	7649	2701
739	7661	2691
740	7672	2681
741	7681	2671
742	7692	2660
743	7703	2650
744	7713	2640
745	7724	2629
746	7735	2619
747	7744	2609
748	7754	2598
749	7765	2588
750	7775	2578
751	7785	2567
752	7797	2557
753	7807	2547
754	7817	2536
755	7826	2526
756	7837	2515
757	7847	2505
758	7858	2495
759	7870	2485
760	7882	2475
761	7892	2465
762	7902	2454
763	7912	2444
764	7925	2434
765	7937	2424
766	7949	2414
767	7961	2405
768	7973	2395
769	7985	2385
770	7996	2375
771	8008	2365
772	8018	2354
773	8030	2344
774	8043	2335
775	8054	2325
776	8064	2314
777	8075	2304
778	8089	2295
779	8100	2284
780	8111	2274
781	8121	2264
782	8132	2253
783	8142	2243
784	8152	2232
785	8163	2222
786	8173	2212
787	8182	2201
788	8190	2190
789	8200	2179
790	8211	2169
791	8223	2159
792	8234	2149
793	8248	2139
794	8261	2130
795	8274	2120
796	8285	2110
797	8296	2100
798	8309	2090
799	8320	2080
800	8330	2069
801	8341	2059
802	8352	2049
803	8363	2038
804	8375	2028
805	8388	2019
806	8400	2009
807	8413	1999
808	8425	1989
809	8440	1979
810	8455	1970
811	8468	1960
812	8481	1950
813	8493	1940
814	8506	1931
815	8519	1921
816	8532	1911
817	8544	1901
818	8557	1891
819	8571	1881
820	8585	1871
821	8597	1861
822	8608	1851
823	8619	1841
824	8632	1831
825	8644	1821
826	8656	1810
827	8668	1800
828	8680	1790
829	8691	1780
830	8702	1769
831	8713	1759
832	8723	1748
833	8735	1738
834	8745	1728
835	8756	1717
836	8767	1707
837	8776	1696
838	8786	1686
839	8796	1675
840	8806	1664
841	8818	1654
842	8828	1644
843	8839	1633
844	8850	1623
